epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7454,0.5387,4.95815,0.90538,0.01935,0.875,0.22162,0.19413,0.43243,3.19486,0.82339,0.000270547,0.000270547,0.000270547
2,30.6271,0.48426,3.78156,0.8698,0.92658,0.40319,0.57199,0.51777,0.48488,2.0514,0.81267,0.000546405,0.000546405,0.000546405
3,41.2364,0.44953,3.14421,0.86045,0.94786,0.62214,0.81322,0.74755,0.47851,1.54871,0.8201,0.00082043,0.00082043,0.00082043
4,51.8891,0.42535,2.783,0.86103,0.80759,0.84484,0.87687,0.79331,0.47841,0.94561,0.8361,0.000824753,0.000824753,0.000824753
5,62.5738,0.39074,2.49505,0.833,0.93428,0.81309,0.91427,0.80018,0.46153,0.80535,0.83153,0.000822004,0.000822004,0.000822004
6,73.2509,0.36161,2.4003,0.81849,0.9736,0.89734,0.94292,0.85082,0.44992,0.66718,0.81874,0.000819255,0.000819255,0.000819255
7,83.7915,0.35594,2.04285,0.81287,0.94,0.91453,0.95333,0.85275,0.4177,0.5673,0.80653,0.000816507,0.000816507,0.000816507
8,94.3698,0.34888,2.20277,0.82512,0.94529,0.90403,0.94639,0.86476,0.40381,0.53604,0.81451,0.000813758,0.000813758,0.000813758
9,105.241,0.34477,1.98156,0.81841,0.97082,0.9375,0.95036,0.82422,0.44265,0.48766,0.83694,0.000811009,0.000811009,0.000811009
10,116.108,0.33829,1.94185,0.81283,0.96616,0.88141,0.94812,0.82188,0.45743,0.53617,0.83545,0.00080826,0.00080826,0.00080826
11,126.704,0.32934,1.84262,0.81026,0.95376,0.92694,0.96375,0.83612,0.42434,0.49164,0.83112,0.000805511,0.000805511,0.000805511
12,137.327,0.32156,1.72805,0.80798,0.95847,0.91191,0.96375,0.86148,0.38623,0.43581,0.81581,0.000802762,0.000802762,0.000802762
13,147.835,0.30519,1.66611,0.81407,0.92601,0.95327,0.995,0.89374,0.38761,0.40153,0.8025,0.000800013,0.000800013,0.000800013
14,158.448,0.31136,1.52705,0.80855,0.9315,0.9521,0.995,0.90834,0.4026,0.42981,0.80316,0.000797264,0.000797264,0.000797264
15,169.03,0.28996,1.57376,0.80087,0.96716,0.94913,0.995,0.89812,0.37521,0.42622,0.79452,0.000794515,0.000794515,0.000794515
16,179.621,0.2802,1.5205,0.80268,0.92746,0.95386,0.995,0.90692,0.35736,0.43084,0.78769,0.000791767,0.000791767,0.000791767
17,190.613,0.28121,1.50294,0.79756,0.97582,0.94753,0.995,0.88956,0.37513,0.38027,0.80336,0.000789018,0.000789018,0.000789018
18,201.131,0.28059,1.46382,0.7934,0.9793,0.94425,0.995,0.88943,0.3632,0.36996,0.79746,0.000786269,0.000786269,0.000786269
19,211.878,0.25969,1.36081,0.79524,0.97205,0.94812,0.995,0.90183,0.35551,0.36451,0.80043,0.00078352,0.00078352,0.00078352
20,222.527,0.26053,1.41726,0.78907,0.96114,0.94438,0.995,0.88634,0.35826,0.39667,0.78725,0.000780771,0.000780771,0.000780771
21,233.115,0.24517,1.26056,0.78539,0.96554,0.94916,0.995,0.87612,0.38112,0.35097,0.79013,0.000778022,0.000778022,0.000778022
22,244.173,0.26812,1.25008,0.79759,0.9737,0.94934,0.995,0.91825,0.34543,0.32123,0.7753,0.000775273,0.000775273,0.000775273
23,255.059,0.25286,1.30147,0.79462,0.96167,0.95123,0.995,0.91371,0.33279,0.34674,0.76903,0.000772524,0.000772524,0.000772524
24,265.83,0.24485,1.11175,0.79452,0.97764,0.94697,0.995,0.91591,0.36169,0.34954,0.79147,0.000769775,0.000769775,0.000769775
25,276.632,0.24817,1.09059,0.79162,0.97692,0.94534,0.995,0.91164,0.34955,0.35375,0.77643,0.000767026,0.000767026,0.000767026
26,287.359,0.25861,1.10614,0.80091,0.97627,0.94555,0.995,0.90703,0.36747,0.31019,0.77583,0.000764278,0.000764278,0.000764278
